"Component","Parameter","Value"
"Kalman filter","A","1.0"
"Kalman filter","H","1.0"
"Kalman filter","Q","0.01"
"Kalman filter","D","0.1"
"Kalman filter","initial_P","1.0"
"Holt forecast","holt_alpha","0.5"
"Holt forecast","holt_beta","0.3"
"NSGA-II","population_size","20"
"NSGA-II","generations","15"
"NSGA-II","crossover_prob","0.9"
"NSGA-II","mutation_prob","0.1"
"NSGA-II","horizon_steps","3"
"NSGA-II","run_interval_steps","5"
"ANFIS","ga_influence_weight","0.45"
"ANFIS","deadzone_low","0.25"
"ANFIS","deadzone_moderate","0.4"
"ANFIS","deadzone_near_capacity","0.55"
"ANFIS","deadzone_over_capacity","0.15"
"Rebalance","penalty_multiplier","1.5"
"Cloud bounds","min_replicas","1"
"Cloud bounds","max_replicas","15"
"Cloud bounds","min_cores","1"
"Cloud bounds","max_cores","16"
"Cloud bounds","pod_max_rps","20"
"Cloud bounds","budget","200.0"
"Controller","target_util","0.5"
"Controller","idle_pressure","0.25"
"Controller","budget_safety","0.97"
"Controller","max_res","4"
"SLO","slo_ms","500.0"
